first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv,avg_orders,pct_subscribed
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,unknown | Default,41,1.0,1770.3773170731708,10.536585365853659,0.3170731707317073
collagen-glow,300g Pack,0724999808507,unknown | Default,34,1.0,1414.2038591800356,8.529411764705882,0.2647058823529412
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),0724999808507,collagen-glow | 300g Pack (30 servings) / Natural (Unflavoured),34,0.5882352941176471,202.05873440285205,3.1176470588235294,0.23529411764705882
lean-protein,1kg Pack (25 serves) / Taro,0724999807708,lean-protein | 1kg Pack (25 serves) / Taro,44,0.38636363636363635,132.06929063360883,1.8863636363636365,0.11363636363636363
collagen-glow,300g,0724999808507,collagen-glow | 300g,42,0.38095238095238093,91.49690476190476,1.9523809523809523,0.19047619047619047
collagen-glow,300g Pack,724999808507.0,collagen-glow | 300g Pack,78,0.3717948717948718,114.5513247863248,2.371794871794872,0.19230769230769232
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,better-whey | 1KG Pack / Cocoa Dinosaur,35,0.37142857142857144,230.50745454545458,2.6285714285714286,0.17142857142857143
micronized-creatine-monohydrate,250g (50 servings),0724999807999,micronized-creatine-monohydrate | 250g (50 servings),42,0.35714285714285715,81.34095238095239,1.5714285714285714,0.07142857142857142
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,31,0.3548387096774194,203.0690713587488,2.4516129032258065,0.1935483870967742
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (25 servings) / Thai Milk Tea,230,0.34782608695652173,114.44871014492755,1.8391304347826087,0.14782608695652175
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,better-whey | 1kg Pack (40 servings) / Natural (Unflavoured),46,0.34782608695652173,238.14093544137023,1.9130434782608696,0.15217391304347827
lushprotein-lean-protein-40g-single-serve,40g Sachet / Thai Milk Tea,0724999810463,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Thai Milk Tea,38,0.34210526315789475,41.31131578947368,1.4210526315789473,0.02631578947368421
collagen-glow,300g (30 serves) / Unflavoured,0724999808507,collagen-glow | 300g (30 serves) / Unflavoured,45,0.3333333333333333,90.27797306397306,1.711111111111111,0.24444444444444444
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,clear-protein | 500g Pack (20 Serv) / White Grape,285,0.3263157894736842,128.95412333864965,1.6385964912280702,0.12631578947368421
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,better-whey | 1kg (40 serves) / Cocoa Dinosaur,50,0.3,66.37584848484849,1.48,0.08
better-whey,1KG Pack / Matchawhey,724999807784.0,better-whey | 1KG Pack / Matchawhey,30,0.3,148.3630202020202,1.8666666666666667,0.1
collagen-glow,300g Pack (30 servings),0724999808507,collagen-glow | 300g Pack (30 servings),74,0.2972972972972973,157.0254054054054,1.945945945945946,0.16216216216216217
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (25 serves) / Thai Milk Tea,52,0.28846153846153844,96.8163752913753,1.6538461538461537,0.07692307692307693
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,clear-protein | 500g Pack (20 Serv) / Peach,425,0.2847058823529412,126.98676648841354,1.651764705882353,0.10352941176470588
clear-protein,25g Sachet (1 serving) / White Grape,0724999810487,clear-protein | 25g Sachet (1 serving) / White Grape,33,0.2727272727272727,23.437878787878788,1.3636363636363635,0.06060606060606061
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,110,0.2727272727272727,75.70059228650138,1.6454545454545455,0.05454545454545454
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,LEAN-TAR-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Taro,45,0.26666666666666666,61.17466666666667,1.3333333333333333,0.06666666666666667
lushprotein-lean-protein-40g-single-serve,40g Sachet / Taro,0724999810470,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Taro,45,0.26666666666666666,51.718444444444444,1.488888888888889,0.15555555555555556
clear-protein,500g Pack (20 servings) / White Grape,0724999807807,clear-protein | 500g Pack (20 servings) / White Grape,34,0.2647058823529412,169.69,1.7941176470588236,0.2647058823529412
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,soy-protein-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),82,0.25609756097560976,617.125509977827,9.695121951219512,0.0975609756097561
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,prime-whey-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),36,0.25,106.26688552188551,1.4722222222222223,0.1388888888888889
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,77,0.24675324675324675,148.54110586383314,1.7532467532467533,0.12987012987012986
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,better-whey | 1KG Pack / Cocoa Dinosaur,45,0.24444444444444444,120.38567676767677,1.6,0.17777777777777778
better-whey,1kg (40 serves) / Unflavoured,0724999807890,better-whey | 1kg (40 serves) / Unflavoured,33,0.24242424242424243,95.35112029384757,1.6666666666666667,0.09090909090909091
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,better-whey | 1kg Pack (40 servings) / Matchawhey,34,0.23529411764705882,89.64141711229946,1.3823529411764706,0.08823529411764706
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,100,0.23,97.8917,1.53,0.07
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),0724999808620,plant-protein | 480g Pack (16 servings) / Natural (Unflavoured),45,0.2222222222222222,50.54041750841751,1.4,0.1111111111111111
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,PLT-CHO-480G-V1,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,41,0.21951219512195122,122.56170731707317,1.3902439024390243,0.024390243902439025
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),0724999807999,micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),53,0.20754716981132076,55.15396226415094,1.3396226415094339,0.07547169811320754
lean-protein,1 x 1kg Pack (25 servings) / Taro,0724999807822,lean-protein | 1 x 1kg Pack (25 servings) / Taro,58,0.20689655172413793,178.89051724137934,1.3793103448275863,0.10344827586206896
lushprotein-clear-shaker,White,0724999808361,lushprotein-clear-shaker | White,310,0.2064516129032258,45.94548387096774,1.4,0.06774193548387097
clear-protein,25g Sachet (1 serving) / Peach,0724999810494,clear-protein | 25g Sachet (1 serving) / Peach,34,0.20588235294117646,53.69558823529412,1.5294117647058822,0.11764705882352941
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,lean-protein | 1 x 1kg Pack (25 servings) / Taro,166,0.18674698795180722,110.49439759036144,1.2951807228915662,0.12650602409638553
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,plant-protein | 480g Pack (16 servings) / Vanilla,81,0.18518518518518517,69.1773774784886,1.4074074074074074,0.06172839506172839
lean-protein,40g Sachet (1 serving) / Thai Milk Tea,0724999810463,lean-protein | 40g Sachet (1 serving) / Thai Milk Tea,33,0.18181818181818182,20.645757575757575,1.1818181818181819,0.09090909090909091
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,clear-protein | 1 x 500g Pack (20 servings) / White Grape,157,0.17834394904458598,149.63700636942676,1.3375796178343948,0.11464968152866242
soy-protein-isolate,1kg Pack (40 servings) / Unflavoured,0724999807845,soy-protein-isolate | 1kg Pack (40 servings) / Unflavoured,34,0.17647058823529413,29.00294117647059,1.2647058823529411,0.029411764705882353
clear-protein,1 x 500g Pack (20 servings) / White Grape,0724999807807,clear-protein | 1 x 500g Pack (20 servings) / White Grape,57,0.17543859649122806,74.9180701754386,1.2105263157894737,0.10526315789473684
clear-protein,500g Pack (20 servings) / Peach,0724999807814,clear-protein | 500g Pack (20 servings) / Peach,40,0.175,109.07750000000001,1.425,0.225
lushprotein-clear-shaker,40g Sachet / Taro,0724999810470,unknown | 40g Sachet / Taro,30,0.16666666666666666,19.204333333333334,1.3,0.06666666666666667
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,collagen-glow | 1 x 300g pack (30 servings),61,0.16393442622950818,165.5865573770492,1.2459016393442623,0.09836065573770492
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,194,0.15979381443298968,125.08350515463918,1.175257731958763,0.15979381443298968
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-THA-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,58,0.15517241379310345,54.79620689655172,1.2413793103448276,0.017241379310344827
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,LEAN-TAR-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Taro,46,0.15217391304347827,56.82217391304348,1.2391304347826086,0.021739130434782608
discovery-sampler,6 Sachets Variety,BND-SS-MIX6-V1,discovery-sampler | 6 Sachets Variety,108,0.1388888888888889,55.845,1.2222222222222223,0.027777777777777776
lushprotein-clear-shaker,White,ACC-SHK-V2,lushprotein-clear-shaker | White,188,0.13829787234042554,72.8493085106383,1.2606382978723405,0.10638297872340426
clear-protein,1 x 500g Pack (20 servings) / Peach,0724999807814,clear-protein | 1 x 500g Pack (20 servings) / Peach,96,0.13541666666666666,106.11666666666666,1.2395833333333333,0.11458333333333333
lushprotein-clear-shaker,40g Sachet / Thai Milk Tea,0724999810463,unknown | 40g Sachet / Thai Milk Tea,80,0.125,28.75625,1.2625,0.0625
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,0724999807845,soy-protein-isolate | 1 x 1kg Pack (40 servings) / Unflavoured,57,0.12280701754385964,73.0657894736842,1.2280701754385965,0.017543859649122806
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),155,0.12258064516129032,83.90806451612903,1.2451612903225806,0.09032258064516129
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,CLEAR-PEA-25G-V2,clear-protein-25g-single-sachet | 1 x 25g (1 serving) / Peach,49,0.12244897959183673,57.546122448979595,1.2448979591836735,0.02040816326530612
better-whey,500g Pack / Cocoa Dinosaur,724999808897.0,better-whey | 500g Pack / Cocoa Dinosaur,34,0.11764705882352941,76.71725490196079,1.411764705882353,0.11764705882352941
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,SOY-UNF-1KG-V1,soy-protein-isolate | 1 x 1kg Pack (40 servings) / Unflavoured,96,0.11458333333333333,103.1353125,1.1354166666666667,0.020833333333333332
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,35,0.11428571428571428,42.79,1.1142857142857143,0.02857142857142857
clear-protein-25g-single-sachet,1 x 25g (1 serving) / White Grape,CLEAR-GRA-25G-V2,clear-protein-25g-single-sachet | 1 x 25g (1 serving) / White Grape,37,0.10810810810810811,38.468378378378375,1.135135135135135,0.02702702702702703
lean-protein,40g Sachet (1 serving) / Taro,0724999810470,lean-protein | 40g Sachet (1 serving) / Taro,49,0.10204081632653061,20.402040816326533,1.1020408163265305,0.061224489795918366
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / Peach,CLEAR-PEA-25G-5PK-V2,clear-protein-25g-single-sachet | 5 x 25g (5 servings) *MOST POPULAR* / Peach,30,0.1,55.690000000000005,1.1,0.0
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,LEAN-POL-1KG-V1,lean-protein-peach-oolong-pre-order | 1 x 1kg Pack (25 servings) / Peach Oolong,33,0.09090909090909091,90.08878787878787,1.121212121212121,0.12121212121212122
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,clear-protein | 1 x 500g Pack (20 servings) / Peach,139,0.06474820143884892,144.40553956834532,1.1007194244604317,0.17985611510791366
discovery-sampler,5 Sachets Variety,BND-SS-MIX6-V1,discovery-sampler | 5 Sachets Variety,50,0.06,43.525999999999996,1.06,0.02
better-whey,500g (20 servings) / Cocoa Dinosaur,0724999808897,better-whey | 500g (20 servings) / Cocoa Dinosaur,42,0.047619047619047616,40.6997619047619,1.0714285714285714,0.023809523809523808
