customer_id,customer_id_display,name,address_area
8906250879231,"8,906,250,879,231",Aditya Vijay,Ang Mo Kio
8904983281919,"8,904,983,281,919",Shwe Tin Aung,Bishan
8877755302143,"8,877,755,302,143",Marcus Tan,Tampines
8903055704319,"8,903,055,704,319",Priya Sharma,Jurong West
8903976583423,"8,903,976,583,423",Daniel Koh,Bedok
8904301314303,"8,904,301,314,303",Emily Wong,Woodlands
8904390836479,"8,904,390,836,479",Ryan Lim,Punggol
8904403845375,"8,904,403,845,375",Siti Rahman,Hougang
8904523546879,"8,904,523,546,879",James Lee,Clementi
8904738275583,"8,904,738,275,583",Nadia Hassan,Serangoon
8904588067071,"8,904,588,067,071",Kevin Ng,Yishun
8905018802431,"8,905,018,802,431",Chloe Tan,Toa Payoh
8905206857983,"8,905,206,857,983",Arjun Patel,Bukit Batok
8905227698431,"8,905,227,698,431",Mei Lin Chen,Queenstown
8905919168767,"8,905,919,168,767",Omar Ibrahim,Pasir Ris
8905962848511,"8,905,962,848,511",Aditya Vijay,Ang Mo Kio
8906009608447,"8,906,009,608,447",Shwe Tin Aung,Bishan
8906074259711,"8,906,074,259,711",Marcus Tan,Tampines
8906176364799,"8,906,176,364,799",Priya Sharma,Jurong West
8902207570175,"8,902,207,570,175",Daniel Koh,Bedok
8894772183295,"8,894,772,183,295",Emily Wong,Woodlands
8901433131263,"8,901,433,131,263",Ryan Lim,Punggol
8901555978495,"8,901,555,978,495",Siti Rahman,Hougang
8901694816511,"8,901,694,816,511",James Lee,Clementi
8901758157055,"8,901,758,157,055",Nadia Hassan,Serangoon
8901852987647,"8,901,852,987,647",Kevin Ng,Yishun
8901867831551,"8,901,867,831,551",Chloe Tan,Toa Payoh
8901374509311,"8,901,374,509,311",Arjun Patel,Bukit Batok
7756181373183,"7,756,181,373,183",Mei Lin Chen,Queenstown
8902232310015,"8,902,232,310,015",Omar Ibrahim,Pasir Ris
8902266945791,"8,902,266,945,791",Aditya Vijay,Ang Mo Kio
8902285328639,"8,902,285,328,639",Shwe Tin Aung,Bishan
8902711247103,"8,902,711,247,103",Marcus Tan,Tampines
8862032593151,"8,862,032,593,151",Priya Sharma,Jurong West
8902215663871,"8,902,215,663,871",Daniel Koh,Bedok
8902720225535,"8,902,720,225,535",Emily Wong,Woodlands
8899184722175,"8,899,184,722,175",Ryan Lim,Punggol
8896736788735,"8,896,736,788,735",Siti Rahman,Hougang
8896925368575,"8,896,925,368,575",James Lee,Clementi
8898839871743,"8,898,839,871,743",Nadia Hassan,Serangoon
8898845540607,"8,898,845,540,607",Kevin Ng,Yishun
8898942533887,"8,898,942,533,887",Chloe Tan,Toa Payoh
8898951086335,"8,898,951,086,335",Arjun Patel,Bukit Batok
8898785313023,"8,898,785,313,023",Mei Lin Chen,Queenstown
8899202810111,"8,899,202,810,111",Omar Ibrahim,Pasir Ris
8899212771583,"8,899,212,771,583",Aditya Vijay,Ang Mo Kio
8899332014335,"8,899,332,014,335",Shwe Tin Aung,Bishan
8899465314559,"8,899,465,314,559",Marcus Tan,Tampines
8899516563711,"8,899,516,563,711",Priya Sharma,Jurong West
8899717791999,"8,899,717,791,999",Daniel Koh,Bedok
8899928752383,"8,899,928,752,383",Emily Wong,Woodlands
8894605689087,"8,894,605,689,087",Ryan Lim,Punggol
8894655037695,"8,894,655,037,695",Siti Rahman,Hougang
8894679482623,"8,894,679,482,623",James Lee,Clementi
8894920818943,"8,894,920,818,943",Nadia Hassan,Serangoon
8895137054975,"8,895,137,054,975",Kevin Ng,Yishun
